game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Street Fighter 6 reignites the fighting game fire! Featuring a vibrant new roster, stunning visuals, and innovative gameplay, it's the ultimate battle for the streets.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Survival,"In the Louisiana bayou, 1896, become a bounty hunter. Hunt monstrous creatures, compete with rivals, and survive the unforgiving wilderness in this tense, tactical PvPvE experience.",Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Action,"Explore a vast, post-apocalyptic world in Wuthering Waves, an open-world action RPG with stunning visuals, dynamic combat, and a compelling story.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Military,Arma Reforger is a military sandbox shooter offering authentic combat and intense multiplayer action. Experience realistic tactics and persistent war on a massive scale.,Multiplayer
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Survival,"Survive the hazardous moons! Gather scrap, manage your crew, and escape before the deadly creatures of Lethal Company hunt you down.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Tactical,"""Arena Breakout: Infinite"" is a hardcore, tactical first-person shooter where players loot and escape dangerous combat zones. Gear up, fight, and survive!",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action,Explore a post-apocalyptic city battling mysterious creatures in **Zenless Zone Zero**. Fast-paced combat and stylish characters await as you uncover the truth.,Both
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Survive, thrive, and dominate a prehistoric island teeming with dinosaurs and other players in this enhanced next-gen remake of ARK: Survival Evolved.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Civilization VII: Build an empire from the Stone Age to the stars. Explore, expand, exploit, and exterminate your way to world domination through diplomacy, war, and cultural achievements.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"SMITE 2 is the next generation of the MOBA featuring mythology's greatest gods. Experience stunning visuals, enhanced gameplay, and strategic team battles.",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"A vast open-world MMORPG where players fight for control of a dynamic world, battling both creatures and rival factions for dominion.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Survival,"Survive and thrive in a fallen world, battling hordes, crafting, and exploring a vast, voxel-based landscape in this action RPG. Uncover ancient secrets.",Both
